@relation sms_spam_proiektua-weka.filters.supervised.instance.Resample-B0.0-S50-Z80.0-no-replacement

@attribute Text string
@attribute class_label {ham,spam}

@data
'Carlos is taking his sweet time as usual so let me know when you and patty are done/want to smoke and I\'ll tell him to haul ass',ham
'Pandy joined 4w technologies today.he got job..',ham
'Sorry, I can\'t help you on this.',ham
'Sorry that took so long, omw now',ham
'Why is that, princess? I bet the brothas are all chasing you!',ham
'Goin to workout lor... Muz lose e fats...',ham
645,ham
'Then ü come n pick me at 530 ar?',ham
'The message sent is askin for  &lt;#&gt; dollars. Shoul i pay  &lt;#&gt;  or  &lt;#&gt; ?',ham
'Mostly sports type..lyk footbl,crckt..',ham
'Sorry, I\'ll call later',ham
'Or I guess  &lt;#&gt;  min',ham
'Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;',ham
'Yes. I come to nyc for audiitions and am trying to relocate.',ham
'Mm that time you dont like fun',ham
'That‘s the thing with apes, u can fight to the death to keep something, but the minute they have it when u let go, thats it!',ham
'If you\'re thinking of lifting me one then no.',ham
'Two fundamentals of cool life: \'Walk, like you are the KING\'...! OR \'Walk like you Dont care,whoever is the KING\'!... Gud nyt',ham
'Will you be here for food',ham
'Yunny... I\'m goin to be late',ham
'Do ü noe if ben is going?',ham
'I can send you a pic if you like :)',ham
'She just broke down a list of reasons why nobody\'s in town and I can\'t tell if she\'s being sarcastic or just faggy',ham
'Hope you are having a good week. Just checking in',ham
'I am not at all happy with what you saying or doing',ham
'Hey i will be really pretty late... You want to go for the lesson first? I will join you. I\'m only reaching tp mrt',ham
'oh ya... Got hip hop open. Haha i was thinking can go for jazz then zoom to cine... Actually tonight i\'m free leh... And there\'s a kb lesson tonight',ham
'Forgot it takes me 3 years to shower, sorry. Where you at/your phone dead yet?',ham
'Yep, by the pretty sculpture',ham
'Up to ü... Ü wan come then come lor... But i din c any stripes skirt...',ham
'Its not the same here. Still looking for a job. How much do Ta\'s earn there.',ham
'I.ll post her out l8r. In class',ham
'Ryder unsold.now gibbs.',ham
'Short But Cute : \' Be a good person , but dont try to prove\' ..... Gud mrng...',ham
'Aiyo a bit pai seh ü noe... Scared he dun rem who i am then die... Hee... But he become better lookin oredi leh...',ham
'happened here while you were adventuring',ham
'\'HEY DAS COOL... IKNOW ALL 2 WELLDA PERIL OF STUDENTFINANCIAL CRISIS!SPK 2 U L8R.\'',ham
'Rose needs water, season needs change, poet needs imagination..My phone needs ur sms and i need ur lovely frndship forever....',ham
'Really dun bluff me leh... U sleep early too. Nite...',ham
'Good afternoon starshine! How\'s my boytoy? Does he crave me yet? Ache to fuck me ? *sips cappuccino* I miss you babe *teasing kiss*',ham
'Thanks love. But am i doing torch or bold.',ham
'That\'s fine, I\'ll bitch at you about it later then',ham
'Oic cos me n my sis got no lunch today my dad went out... So dunno whether 2 eat in sch or wat...',ham
'Huh? 6 also cannot? Then only how many mistakes?',ham
'Dear,Me at cherthala.in case u r coming cochin pls call bfore u start.i shall also reach accordingly.or tell me which day u r coming.tmorow i am engaged ans its holiday.',ham
'Anything lor. Juz both of us lor.',ham
'Okay same with me. Well thanks for the clarification',ham
'Waaaat?? Lololo ok next time then!',ham
'Happy or sad , one thing about past is- \'Its no more\' GOOD MORNING :-):-).',ham
'I am not having her number sir',ham
'Please ask mummy to call father',ham
'I\'ve been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.',ham
'Just sleeping..and surfing',ham
'Yup. Anything lor, if u dun wan it\'s ok...',ham
'Still chance there. If you search hard you will get it..let have a try :)',ham
'Sir, i am waiting for your call.',ham
'Babe ? I lost you ... Will you try rebooting ?',ham
'ARE YOU IN TOWN? THIS IS V. IMPORTANT',ham
'K...k:)why cant you come here and search job:)',ham
'Siva is in hostel aha:-.',ham
'So now my dad is gonna call after he gets out of work and ask all these crazy questions.',ham
'Tell your friends what you plan to do on Valentines day @ &lt;URL&gt;',ham
'Hey... Very inconvenient for your sis a not huh?',ham
'Since when, which side, any fever, any vomitin.',ham
'Oops I did have it,  &lt;#&gt; ?',ham
'You\'ll never believe this but i have actually got off at taunton. Wow',ham
'I\'ve sent my wife your text. After we buy them she\'ll tell you what to do. So just relax. We should go get them this wkend.',ham
'Ola would get back to you maybe not today but I ve told him you can be his direct link in the US in getting cars he bids for online, you arrange shipping and you get a cut. Or U????? For a partnership where U????? Invest money for shipping and he takes care of the rest!U??Wud b self reliant soon dnt worry',ham
'Ok thats cool. Its , just off either raglan rd or edward rd. Behind the cricket ground. Gimme ring when ur closeby see you tuesday.',ham
'K, can I pick up another 8th when you\'re done?',ham
'You\'re not sure that I\'m not trying to make xavier smoke because I don\'t want to smoke after being told I smoke too much?',ham
'Oh yeah! And my diet just flew out the window',ham
'All e best 4 ur exam later.',ham
'I\'m ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.',ham
'Ok ill tell the company',ham
'Actually i deleted my old website..now i m blogging at magicalsongs.blogspot.com',ham
'Hi Harish\'s rent has been transfred to ur Acnt.',ham
'How to Make a girl Happy? It\'s not at all difficult to make girls happy. U only need to be... 1. A friend 2. Companion 3. Lover 4. Chef . . .  &lt;#&gt; . Good listener  &lt;#&gt; . Organizer  &lt;#&gt; . Good boyfriend  &lt;#&gt; . Very clean  &lt;#&gt; . Sympathetic  &lt;#&gt; . Athletic  &lt;#&gt; . Warm . . .  &lt;#&gt; . Courageous  &lt;#&gt; . Determined  &lt;#&gt; . True  &lt;#&gt; . Dependable  &lt;#&gt; . Intelligent . . .  &lt;#&gt; . Psychologist  &lt;#&gt; . Pest exterminator  &lt;#&gt; . Psychiatrist  &lt;#&gt; . Healer . .  &lt;#&gt; . Stylist  &lt;#&gt; . Driver . . Aaniye pudunga venaam..',ham
'Is it your yahoo boys that bring in the perf? Or legal.',ham
'Depends on quality. If you want the type i sent boye, faded glory, then about 6. If you want ralphs maybe 2',ham
'I can\'t keep going through this. It was never my intention to run you out, but if you choose to do that rather than keep the room clean so *I* don\'t have to say no to visitors, then maybe that\'s the best choice. Yes, I wanted you to be embarassed, so maybe you\'d feel for once how I feel when i have a friend who wants to drop buy and i have to say no, as happened this morning. I\'ve tried everything. I don\'t know what else to do.',ham
'Am on a train back from northampton so i\'m afraid not! I\'m staying skyving off today ho ho! Will be around wednesday though. Do you fancy the comedy club this week by the way?',ham
'Goodmorning sleeping ga.',ham
'Haha figures, well I found the piece and priscilla\'s bowl',ham
'Sorry that was my uncle. I.ll keep in touch',ham
'Uh, heads up we don\'t have THAT much left',ham
'Compliments to you. Was away from the system. How your side.',ham
'Two teams waiting for some players',ham
'Got ur mail Dileep.thank you so muchand look forward to lots of support...very less contacts here,remember one venugopal you mentioned.tomorrow if not late,i shall try to come up till there.goodnight dear.',ham
'5 nights...We nt staying at port step liao...Too ex',ham
'hi baby im sat on the bloody bus at the mo and i wont be home until about 7:30 wanna do somethin later? call me later ortxt back jess xx',ham
'Hanging out with my brother and his family',ham
'You flippin your shit yet?',ham
'Nokia phone is lovly..',ham
'I know you are. Can you pls open the back?',ham
'I\'ve not sent it. He can send me.',ham
'To the wonderful Okors, have a great month. We cherish you guys and wish you well each day. MojiBiola',ham
'I av a new number,  . Wil u only use this one,ta.',ham
'Err... Cud do. I\'m going to  at 8pm. I haven\'t got a way to contact him until then.',ham
'i dnt wnt to tlk wid u',ham
'You call him and tell now infront of them. Call him now.',ham
'Sitting in mu waiting for everyone to get out of my suite so I can take a shower',ham
'hope things went well at \'doctors\' ;) reminds me i still need 2go.did u c d little thing i left in the lounge?',ham
'ok. I am a gentleman and will treat you with dignity and respect.',ham
'Feb  &lt;#&gt;  is \'I LOVE U\' day. Send dis to all ur \'VALUED FRNDS\' evn me. If 3 comes back u\'ll gt married d person u luv! If u ignore dis u will lose ur luv 4 Evr',ham
'Height of recycling: Read twice- People spend time for earning money and the same money is spent for spending time!;-) Good morning.. keep smiling:-)',ham
'Oh k. . I will come tomorrow',ham
'The world is running and i am still.maybe all are feeling the same,so be it.or i have to admit,i am mad.then where is the correction?or let me call this is life.and keep running with the world,may be u r also running.lets run.',ham
'THIS IS A LONG FUCKIN SHOWR',ham
'Just checked out, heading out to drop off my stuff now',ham
'Give one miss from that number please',ham
'I\'ve reached home finally...',ham
'Not directly behind... Abt 4 rows behind ü...',ham
'Your dad is back in ph?',ham
'Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose.',ham
'Should I be stalking u?',ham
'I want to tel u one thing u should not mistake me k THIS IS THE MESSAGE THAT YOU SENT:)',ham
'S.this will increase the chance of winning.',ham
'Anything lor if they all go then i go lor...',ham
'Happy birthday... May all ur dreams come true...',ham
'Horrible bf... I now v hungry...',ham
'Wow ... I love you sooo much, you know ? I can barely stand it ! I wonder how your day goes and if you are well, my love ... I think of you and miss you',ham
'Jay wants to work out first, how\'s 4 sound?',ham
'K I\'ll call you when I\'m close',ham
'K still are you loving me.',ham
'\'Aww you must be nearly dead!Well Jez isComing over toDo some workAnd that whillTake forever!\'',ham
'Am slow in using biola\'s fne',ham
'Amazing : If you rearrange these letters it gives the same meaning... Dormitory = Dirty room Astronomer = Moon starer The eyes = They see Election results = Lies lets recount Mother-in-law = Woman Hitler Eleven plus two =Twelve plus one Its Amazing... !:-)',ham
'I dont have i shall buy one dear',ham
'Sun ah... Thk mayb can if dun have anythin on... Thk have to book e lesson... E pilates is at orchard mrt u noe hor...',ham
'Hi. || Do u want | to join me with sts later? || Meeting them at five. || Call u after class.',ham
'Gam gone after outstanding innings.',ham
'I will reach before ten morning',ham
'None of that\'s happening til you get here though',ham
'Hey sathya till now we dint meet not even a single time then how can i saw the situation sathya.',ham
'Thank you. do you generally date the brothas?',ham
'ITS A LAPTOP TAKE IT WITH YOU.',ham
'I will be gentle princess! We will make sweet gentle love...',ham
'I cant pick the phone right now. Pls send a message',ham
'Whos this am in class:-)',ham
'My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... \' NAKED...!',ham
'There generally isn\'t one. It\'s an uncountable noun - u in the dictionary. pieces of research?',ham
'And he\'s apparently bffs with carly quick now',ham
'Feel Yourself That You Are Always Happy.. Slowly It Becomes Your Habit &amp; Finally It Becomes Part Of Your Life.. Follow It.. Happy Morning &amp; Have A Happy Day:)',ham
'Hi Chikku, send some nice msgs',ham
'Btw regarding that we should really try to see if anyone else can be our 4th guy before we commit to a random dude',ham
'Cool, I\'ll text you in a few',ham
'Where in abj are you serving. Are you staying with dad or alone.',ham
'MY NEW YEARS EVE WAS OK. I WENT TO A PARTY WITH MY BOYFRIEND. WHO IS THIS SI THEN HEY',ham
'You do got a shitload of diamonds though',ham
'I\'ve reached home n i bathe liao... U can call me now...',ham
'Gr8. So how do you handle the victoria island traffic. Plus when\'s the album due',ham
'Why don\'t you go tell your friend you\'re not sure you want to live with him because he smokes too much then spend hours begging him to come smoke',ham
'What r u cooking me for dinner?',ham
'\'Wen u miss someone, the person is definitely special for u..... But if the person is so special, why to miss them, just Keep-in-touch\' gdeve..',ham
'Midnight at the earliest',ham
'Ok . . now i am in bus. . If i come soon i will come otherwise tomorrow',ham
'Ugh I don\'t wanna get out of bed. It\'s so warm.',ham
'Cancel cheyyamo?and get some money back?',ham
'They r giving a second chance to rahul dengra.',ham
'All done, all handed in. Don\'t know if mega shop in asda counts as celebration but thats what i\'m doing!',ham
'I\'m in class. Did you get my text.',ham
'Was actually sleeping and still might when u call back. So a text is gr8. You rock sis. Will send u a text wen i wake.',ham
'Haha, just what I was thinkin',ham
'I\'m tired of arguing with you about this week after week. Do what you want and from now on, i\'ll do the same.',ham
'Okay, good, no problem, and thanx!',ham
'Hey i booked the kb on sat already... what other lessons are we going for ah? Keep your sat night free we need to meet and confirm our lodging',ham
'OK i\'m waliking ard now... Do u wan me 2 buy anything go ur house?',ham
'Nothing but we jus tot u would ask cos u ba gua... But we went mt faber yest... Yest jus went out already mah so today not going out... Jus call lor...',ham
'Babe, I\'m answering you, can\'t you see me ? Maybe you\'d better reboot YM ... I got the photo ... It\'s great !',ham
'All was well until slightly disastrous class this pm with my fav darlings! Hope day off ok. Coffee wld be good as can\'t stay late tomorrow. Same time + place as always?',ham
'Great. Have a safe trip. Dont panic surrender all.',ham
'I had it already..sabarish asked me to go..',ham
'Carlos\'ll be here in a minute if you still need to buy',ham
'U in town alone?',ham
'My friend, she\'s studying at warwick, we\'ve planned to go shopping and to concert tmw, but it may be canceled, havn\'t seen  for ages, yeah we should get together sometime!',ham
'Waiting for your call.',ham
'Oh yah... We never cancel leh... Haha',ham
'U GOIN OUT 2NITE?',ham
'Do well :)all will for little time. Thing of good times ahead:',ham
'Pls ask macho how much is budget for bb bold 2 is cos i saw a new one for  &lt;#&gt;  dollars.',ham
'IM GONNAMISSU SO MUCH!!I WOULD SAY IL SEND U A POSTCARD BUTTHERES ABOUTAS MUCH CHANCE OF MEREMEMBERIN ASTHERE IS OFSI NOT BREAKIN HIS CONTRACT!! LUV Yaxx',ham
'Uncle boye. I need movies oh. Guide me. Plus you know torrents are not particularly legal here. And the system is slowing down. What should i do. Have a gr8 day. Plus have you started cos i dont meet you online. How was the honey moon.',ham
'Ok lor. I\'m in town now lei.',ham
'Good Morning plz call me sir',ham
'Nvm... I\'m going to wear my sport shoes anyway... I\'m going to be late leh.',ham
'Wrong phone! This phone! I answer this one but assume the other is people i don\'t well',ham
'No b4 Thursday',ham
'K. I will sent it again',ham
'Wat makes u thk i\'ll fall down. But actually i thk i\'m quite prone 2 falls. Lucky my dad at home i ask him come n fetch me already.',ham
'My drive can only be read. I need to write',ham
'That\'s y i said it\'s bad dat all e gals know u... Wat u doing now?',ham
'I think just yourself …Thanks and see you tomo',ham
'Hey u still at the gym?',ham
'And do you have any one that can teach me how to ship cars.',ham
'Get me out of this dump heap. My mom decided to come to lowes. BORING.',ham
'How much for an eighth?',ham
'The gas station is like a block away from my house, you\'ll drive right by it since armenia ends at swann and you have to take howard',ham
'I want to lick your pussy now...',ham
'Da my birthdate in certificate is in april but real date is today. But dont publish it. I shall give you a special treat if you keep the secret. Any way thanks for the wishes',ham
'I was wondering if it would be okay for you to call uncle john and let him know that things are not the same in nigeria as they r here. That  &lt;#&gt;  dollars is 2years sent and that you know its a strain but i plan to pay back every dime he gives. Every dime so for me to expect anything from you is not practical. Something like that.',ham
'Once free call me sir. I am waiting for you.',ham
'Hello. No news on job, they are making me wait a fifth week! Yeah im up for some woozles and weasels... In exeter still, but be home about 3.',ham
'I thk 530 lor. But dunno can get tickets a not. Wat u doing now?',ham
'He says hi and to get your ass back to south tampa (preferably at a kegger)',ham
'(That said can you text him one more time?)',ham
'Lol you forgot it eh ? Yes, I\'ll bring it in babe',ham
'sure, but make sure he knows we ain\'t smokin yet',ham
'My supervisor find 4 me one lor i thk his students. I havent ask her yet. Tell u aft i ask her.',ham
'Meet after lunch la...',ham
'Do whatever you want. You know what the rules are. We had a talk earlier this week about what had to start happening, you showing responsibility. Yet, every week it\'s can i bend the rule this way? What about that way? Do whatever. I\'m tired of having thia same argument with you every week. And a  &lt;#&gt;  movie DOESNT inlude the previews. You\'re still getting in after 1.',ham
'We have to pick rayan macleran there.',ham
'Good morning, my Love ... I go to sleep now and wish you a great day full of feeling better and opportunity ... You are my last thought babe, I LOVE YOU *kiss*',ham
'So that takes away some money worries',ham
'Ya ok, then had dinner?',ham
'Gokila is talking with you aha:)',ham
'Hmmm.... Mayb can try e shoppin area one, but forgot e name of hotel...',ham
'It,,s a taxt massage....tie-pos argh ok! Lool!',ham
'K, can that happen tonight?',ham
'I\'m fine. Hope you are good. Do take care.',ham
'Wait.i will come out.. &lt;#&gt;  min:)',ham
'You said to me before i went back to bed that you can\'t sleep for anything.',ham
'Mmm thats better now i got a roast down me! id b better if i had a few drinks down me 2! Good indian?',ham
'Machan you go to gym tomorrow,  i wil come late goodnight.',ham
'Garbage bags, eggs, jam, bread, hannaford wheat chex',ham
'Sir, I need Velusamy sir\'s date of birth and company bank facilities details.',ham
'Shall i start from hear.',ham
'I don\'t quite know what to do. I still can\'t get hold of anyone. I cud pick you up bout 7.30pm and we can see if they\'re in the pub?',ham
'Aight, can you text me the address?',ham
'Haha awesome, I might need to take you up on that, what you doin tonight?',ham
'Congratulations ore mo owo re wa. Enjoy it and i wish you many happy moments to and fro wherever you go',ham
'Sorry, I\'ll call later',ham
'Yo, call me when you get the chance, a friend of mine wanted me to ask you about a big order',ham
'Kay... Since we are out already',ham
'Wat makes some people dearer is not just de happiness dat u feel when u meet them but de pain u feel when u miss dem!!!',ham
'First has she gained more than  &lt;#&gt; kg since she took in. Second has she done the blood sugar tests. If she has and its ok and her blood pressure is within normal limits then no worries',ham
'I\'m an actor. When i work, i work in the evening and sleep late. Since i\'m unemployed at the moment, i ALWAYS sleep late. When you\'re unemployed, every day is saturday.',ham
'I couldn\'t say no as he is a dying man and I feel sad for him so I will go and I just wanted you to know I would probably be gone late into your night',ham
'Normally i use to drink more water daily:)',ham
'K:)k:)good:)study well.',ham
staff.science.nus.edu.sg/~phyhcmk/teaching/pc1323,ham
'She.s find. I sent you an offline message to know how anjola\'s now.',ham
'I\'m in office now . I will call you  &lt;#&gt;  min:)',ham
'Hi msg me:)i\'m in office..',ham
'Oic... Then better quickly go bathe n settle down...',ham
'Miss call miss call khelate kintu opponenter miss call dhorte lage. Thats d rule. One with great phone receiving quality wins.',ham
'If i not meeting ü all rite then i\'ll go home lor. If ü dun feel like comin it\'s ok.',ham
'I\'m back &amp; we\'re packing the car now, I\'ll let you know if there\'s room',ham
'Oh god. I\'m gonna Google nearby cliffs now.',ham
'How was txting and driving',ham
'Sad story of a Man - Last week was my b\'day. My Wife did\'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish.',ham
'I know you are serving. I mean what are you doing now.',ham
'Yup having my lunch buffet now.. U eat already?',ham
'Hey are we going for the lo lesson or gym?',ham
'Raji..pls do me a favour. Pls convey my Birthday wishes to Nimya. Pls. Today is her birthday.',ham
'I\'m glad. You are following your dreams.',ham
'Hi Shanil,Rakhesh here.thanks,i have exchanged the uncut diamond stuff.leaving back. Excellent service by Dino and Prem.',ham
'No problem baby. Is this is a good time to talk? I called and left a message.',ham
'No dude, its not fake..my frnds got money, thts y i\'m reffering u..if u member wit my mail link, u vl be credited  &lt;#&gt; rs and il be getiing  &lt;#&gt; rs..i can draw my acc wen it is  &lt;#&gt; rs..',ham
'The basket\'s gettin full so I might be by tonight',ham
'Well. Im computerless. Time to make some oreo truffles',ham
'I can\'t make it tonight',ham
'Huh so late... Fr dinner?',ham
'I pocked you up there before',ham
'Height of \'Oh shit....!!\' situation: A guy throws a luv letter on a gal but falls on her brothers head whos a gay,.;-):-D',ham
'Honestly i\'ve just made a lovely cup of tea and promptly dropped my keys in it and then burnt my fingers getting them out!',ham
'Aight, let me know when you\'re gonna be around usf',ham
'Just re read it and I have no shame but tell me how he takes it and if he runs I will blame u 4 ever!! Not really 4 ever just a long time',ham
'I love u 2 my little pocy bell I am sorry but I love u',ham
'Tell me something. Thats okay.',ham
'This is all just creepy and crazy to me.',ham
'When is school starting. Where will you stay. What\'s the weather like. And the food. Do you have a social support system like friends in the school. All these things are important.',ham
'I want to sent  &lt;#&gt; mesages today. Thats y. Sorry if i hurts',ham
'Yes I know the cheesy songs from frosty the snowman :)',ham
Ok.,ham
'So u gonna get deus ex?',ham
'Good afternoon, my love ! Any job prospects ? Are you missing me ? What do you do ? Are you being lazy and bleak, hmmm ? Or happy and filled with my love ?',ham
'Lol no. U can trust me.',ham
'Well then you have a great weekend!',ham
'Dunno da next show aft 6 is 850. Toa payoh got 650.',ham
'U guys never invite me anywhere :(',ham
'When did i use soc... I use it only at home... Ü dunno how 2 type it in word ar...',ham
'Remember on that day..',ham
'When you are big..| God will bring success.',ham
'Mah b, I\'ll pick it up tomorrow',ham
'Its going good...no problem..but still need little experience to understand american customer voice...',ham
'I agree. So i can stop thinkin about ipad. Can you please ask macho the same question.',ham
'Yunny i\'m walking in citylink now ü faster come down... Me very hungry...',ham
'V nice! Off 2 sheffield tom 2 air my opinions on categories 2 b used 2 measure ethnicity in next census. Busy transcribing. :-)',ham
'Under the sea, there lays a rock. In the rock, there is an envelope. In the envelope, there is a paper. On the paper, there are 3 words... \'',ham
'Then she buying today? Ü no need to c meh...',ham
'I need an 8th but I\'m off campus atm, could I pick up in an hour or two?',ham
'K.k.how is your business now?',ham
'I\'m aight. Wat\'s happening on your side.',ham
'We have sent JD for Customer Service cum Accounts Executive to ur mail id, For details contact us',ham
'what number do u live at? Is it 11?',ham
'Dear good morning now only i am up',ham
'Perhaps * is much easy give your account identification, so i will tomorrow at UNI',ham
'Tell me again what your address is',ham
'Eh sorry leh... I din c ur msg. Not sad already lar. Me watching tv now. U still in office?',ham
'Sorry, I\'ll call later',ham
'Ok no prob... I\'ll come after lunch then...',ham
'Love has one law; Make happy the person you love. In the same way friendship has one law; Never make ur friend feel alone until you are alive.... Gud night',ham
'Give her something to drink, if she takes it and doesn\'t vomit then you her temp might drop. If she unmits however let me know.',ham
'Aight sorry I take ten years to shower. What\'s the plan?',ham
'Its so common hearin How r u? Wat r u doing? How was ur day? So let me ask u something different. Did u smile today? If not, do it now.... Gud evng.',ham
'Oh... Haha... Den we shld had went today too... Gee, nvm la... Kaiez, i dun mind goin jazz oso... Scared hiphop open cant catch up...',ham
'Please don\'t text me anymore. I have nothing else to say.',ham
'Wat\'s da model num of ur phone?',ham
'No dear i was sleeping :-P',ham
'What\'s your room number again? Wanna make sure I\'m knocking on the right door',ham
'It took Mr owl 3 licks',ham
'Me i\'m not workin. Once i get job...',ham
'Theoretically yeah, he could be able to come',ham
